member_id,stratifier,level,n,r2,mse,bias,residual_q01,residual_q05,residual_q25,residual_q50,residual_q75,residual_q95,residual_q99
2864601_0.279,fixed_pair_split,validation,1017.0,0.9804182607230656,0.09356369198083607,0.014073122765973299,-0.7486599850654602,-0.3218826293945312,-0.06286025047302246,0.001803755760192871,0.0782422423362732,0.40094348788261347,0.9595464849472064
2864601_0.279,equilibrium_in_train,True,9785.0,0.9852831523622168,0.07126116620466348,0.003719586506268813,-0.8105945181846619,-0.3544734477996826,-0.0681077241897583,0.0016975998878479004,0.07740485668182373,0.37187491655349725,0.7745676755905148
2864601_0.353,stability,stable_near_floor,3170.0,-1045.2399087978322,0.027710968880164853,0.03597574815953192,-0.049560887813568114,-0.02408865690231323,-0.00679701566696167,0.003238081932067871,0.014516353607177734,0.22251558303832975,0.7554058396816249
2864601_0.353,stability,unstable,6615.0,0.9692749580931141,0.09235925845604176,-0.014495117360947215,-0.9726140892505646,-0.47680945396423335,-0.1395161747932434,-0.007368326187133789,0.1280135214328766,0.4194343566894522,0.7531905579566928
2864601_0.353,flux_regime,high_flux,2205.0,0.8959602150713556,0.07461331691872429,-0.029436505016556133,-0.9703478431701661,-0.3870213985443115,-0.12793540954589844,-0.017229557037353516,0.09266519546508789,0.3101024150848386,0.6103196144104004
2864601_0.353,flux_regime,low_flux,2205.0,0.7347677242460852,0.142910321618853,0.0026559467791593392,-1.055392657518387,-0.6112653613090515,-0.17873787879943848,0.006396651268005371,0.20167511701583862,0.5723223626613614,0.9962303113937384
2864601_0.353,flux_regime,medium_flux,2205.0,0.7392440051119202,0.059554136830548055,-0.01670479384544485,-0.790722543001175,-0.3690885305404663,-0.12088525295257568,-0.003940463066101074,0.11132454872131348,0.30862989425659176,0.5376378393173221
2864601_0.353,flux_regime,near_threshold,29.0,-117.11582070282023,0.061088176225848556,0.17475914544072643,-0.06353616714477539,-0.031132173538208005,0.05668950080871582,0.12308776378631592,0.23824644088745117,0.5299462795257566,0.6089919567108154
2864601_0.353,flux_regime,stable_floor,3141.0,nan,0.0274028061889758,0.03469439874178131,-0.04945387840270996,-0.024086952209472656,-0.0068471431732177734,0.0030821561813354492,0.01414477825164795,0.1995164155960083,0.7581900596618644
2864601_0.353,a_over_LT_tertile,0,3262.0,0.9069762329213962,0.08514261599482567,0.004479385350791168,-0.9570100343227387,-0.41209279894828776,-0.012863010168075562,0.001558542251586914,0.01745206117630005,0.41785228252410866,0.9496293115615835
