member_id,unit_id,stratum,concept,rank_correlation_zero_lag,overlap_at_fixed_sparsity,sparsity,best_lag,lag_correlation,partial_rank_correlation,validity_tag,bootstrap_group,bootstrap_recurrence,lag_correlation_ci95_lower,lag_correlation_ci95_upper
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,good_curvature,0.04459510654900361,0.06083333333333333,0.05,20,0.2184655827151885,0.21685511585051204,observed-comparison,equilibrium_files,0.0,0.1832364661091815,0.25489399532993845
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,good_curvature__mean_w9,0.07572277971483041,0.0725,0.05,18,0.2756126689394255,0.2786516349300859,observed-comparison,equilibrium_files,0.0,0.23628723720550748,0.3171977827352566
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,good_curvature__mean_w25,0.10478531354730752,0.0925,0.05,19,0.34688086469740625,0.34389841387669123,observed-comparison,equilibrium_files,0.0,0.2988872617231313,0.3920524300525482
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,curvature_drift,-0.05982544605116011,0.08000000000000002,0.05,21,-0.2615716262194419,-0.26269382017625575,observed-comparison,equilibrium_files,0.0,-0.30482330242671335,-0.2222292378053137
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,curvature_drift__mean_w9,-0.08403416050395544,0.07583333333333334,0.05,19,-0.3063572495246747,-0.30492956965894724,observed-comparison,equilibrium_files,0.0,-0.35087830947865906,-0.2604037718139522
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,curvature_drift__mean_w25,-0.12567328670064815,0.09166666666666666,0.05,19,-0.3754695435223095,-0.3679610120639572,observed-comparison,equilibrium_files,0.282,-0.426593104865716,-0.3220932525370202
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,abs_curvature_drift,0.017169101561370304,0.060833333333333336,0.05,-25,-0.09754660048463079,-0.09694438930179301,observed-comparison,equilibrium_files,0.0,-0.12844261273761357,-0.06278837870883057
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,abs_curvature_drift__mean_w9,0.03381772889229637,0.07416666666666667,0.05,-29,-0.12623345190117322,-0.12180092552793033,observed-comparison,equilibrium_files,0.0,-0.16821300376420903,-0.0838447203786968
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,abs_curvature_drift__mean_w25,0.043559457604719125,0.06833333333333333,0.05,-29,-0.1663474654912851,-0.16263217244621533,observed-comparison,equilibrium_files,0.0,-0.22070579416159586,-0.10801423499021841
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,radial_drift_geodesic_curvature,0.166522205374743,0.060833333333333336,0.05,32,-0.26265669163428434,-0.26002233871128605,observed-comparison,equilibrium_files,0.0,-0.3027712777243731,-0.21949214365909728
