member_id,unit_id,unit_index,stratum,n_equilibrium_files,signed_mean,standard_deviation,q50,q90,q99,maximum,active_fraction,median_active_positions,median_halfmax_positions,q90_halfmax_positions,s04_shapley_mean_absolute,s04_mean_ablation_rms,s04_shapley_rank
2864601_0.371,2864601_0.371:u001,1,overall,1000,0.010857115499675274,0.08230241388082504,0.0,0.0,0.40702053904533386,2.349059581756592,0.03078125,0.0,96.0,96.0,0.002805995032307692,0.009496765225128937,18.0
2864601_0.371,2864601_0.371:u001,1,stable_or_near_floor,240,0.008169523440301418,0.06041109189391136,0.0,0.0,0.3083924904465688,1.3116183280944824,0.030772569444444446,0.0,96.0,96.0,0.002805995032307692,0.009496765225128937,18.0
2864601_0.371,2864601_0.371:u001,1,unstable,760,0.011705828830599785,0.08807537704706192,0.0,0.0,0.43016868829727173,2.349059581756592,0.030783991228070174,0.0,96.0,96.0,0.002805995032307692,0.009496765225128937,18.0
2864601_0.371,2864601_0.371:u002,2,overall,1000,0.08800144493579865,0.3671201765537262,0.0,0.0,2.058030052185052,4.706269264221191,0.08470833333333333,0.0,96.0,96.0,0.009625096934847534,0.0471902190253087,16.0
2864601_0.371,2864601_0.371:u002,2,stable_or_near_floor,240,0.11286519467830658,0.4067065119743347,0.0,0.061669337004429614,2.0780930519104004,4.706269264221191,0.10286458333333333,0.0,96.0,96.0,0.009625096934847534,0.0471902190253087,16.0
2864601_0.371,2864601_0.371:u002,2,unstable,760,0.08014973998069763,0.3533366620540619,0.0,0.0,2.055548906326294,3.8095147609710693,0.07897478070175439,0.0,96.0,96.0,0.009625096934847534,0.0471902190253087,16.0
2864601_0.371,2864601_0.371:u003,3,overall,1000,0.48615217208862305,1.0697537660598755,0.0,2.0253567695617676,4.362523555755615,17.591428756713867,0.3017916666666667,12.0,50.0,96.0,0.03553861061972566,0.07511909106589854,7.0
2864601_0.371,2864601_0.371:u003,3,stable_or_near_floor,240,0.6683234572410583,1.0721285343170166,0.0,2.2907891273498535,3.124144988059999,14.858195304870605,0.42096354166666666,29.0,72.0,96.0,0.03553861061972566,0.07511909106589854,7.0
2864601_0.371,2864601_0.371:u003,3,unstable,760,0.42862433195114136,1.0625334978103638,0.0,1.765873908996582,4.624245648384096,17.591428756713867,0.26415844298245617,10.0,43.0,96.0,0.03553861061972566,0.07511909106589854,7.0
2864601_0.371,2864601_0.371:u004,4,overall,1000,0.562665581703186,1.7271897792816162,0.0,2.1845429897308404,8.943496704101562,10.888999938964844,0.14247916666666666,0.0,96.0,96.0,0.19944169771671294,0.28279175221575353,2.0
