member_id,filter_index,channel_index,channel_name,kernel_width,dc_amplitude,peak_frequency_index,spectral_centroid,kernel_l1,kernel_l2
2864601_0.437,15,2,cvdrift,13,0.5069137020036578,5,16.854290397342236,1.6202960014343262,0.5329329371452332
2864601_0.437,15,3,gbdrift0_over_shat,13,2.6691654697060585,0,13.565750002036003,2.6691653728485107,0.8106566071510315
2864601_0.437,15,4,gds2,13,0.28303764085285366,6,18.139414240639702,0.9940705895423889,0.31435778737068176
2864601_0.437,15,5,gds21_over_shat,13,0.016631466685794294,14,19.2825338511516,1.5768139362335205,0.5339658260345459
2864601_0.437,15,6,gds22_over_shat_squared,13,0.23702905140817165,39,24.151012767518495,0.6122782230377197,0.19563321769237518
2864601_0.437,16,0,bmag,13,2.454838890582323,0,11.603703655319299,2.454838991165161,0.7470530271530151
2864601_0.437,16,1,gbdrift,13,4.038529172539711,0,8.797104014206528,4.038529396057129,1.1691902875900269
2864601_0.437,16,2,cvdrift,13,0.4847267175791785,6,16.86257265893293,0.8219590187072754,0.36768579483032227
2864601_0.437,16,3,gbdrift0_over_shat,13,6.265917994081974,0,9.958113292242297,6.265918731689453,1.9787105321884155
2864601_0.437,16,4,gds2,13,0.049597036093473434,33,29.428655759917792,0.7895978689193726,0.24217787384986877
2864601_0.437,16,5,gds21_over_shat,13,0.14720893441699445,8,16.94484781270296,0.976715087890625,0.31700462102890015
2864601_0.437,16,6,gds22_over_shat_squared,13,0.7090978901833296,14,16.121828921810597,1.33664870262146,0.4557817578315735
2864601_0.437,17,0,bmag,13,2.084960359148681,3,11.77494073970516,2.7245287895202637,0.8976598381996155
2864601_0.437,17,1,gbdrift,13,4.377538785338402,0,13.791387179839122,4.377539157867432,1.3060823678970337
2864601_0.437,17,2,cvdrift,13,0.7990632583387196,7,15.567063497687691,2.242997884750366,0.7914190888404846
2864601_0.437,17,3,gbdrift0_over_shat,13,8.006711453199387,0,14.259806156207018,8.00671100616455,2.413081407546997
2864601_0.437,17,4,gds2,13,0.23125043138861656,42,27.454661366049088,0.7839264869689941,0.2474852055311203
2864601_0.437,17,5,gds21_over_shat,13,0.7953145410865545,0,21.83996692672919,1.3201490640640259,0.41261523962020874
2864601_0.437,17,6,gds22_over_shat_squared,13,0.17713048867881298,43,23.932243742854045,0.6699014902114868,0.19683462381362915
2864601_0.437,18,0,bmag,13,0.7040317244827747,13,18.02934902078419,1.9169126749038696,0.635223388671875
2864601_0.437,18,1,gbdrift,13,2.2366761043667793,3,13.71894932807175,2.8794612884521484,1.049055814743042
2864601_0.437,18,2,cvdrift,13,3.5549353890819475,0,9.80786385723963,3.733003854751587,1.2118767499923706
2864601_0.437,18,3,gbdrift0_over_shat,13,0.10481640417128801,7,15.959186159282543,2.7405593395233154,0.9232925176620483
