member_id,function,point_delta_residual_std_vs_f,bootstrap_median_delta,ci_95_lower,ci_95_upper,probability_improved
2864601_0.427,invariant_tilde_f,-0.0068700490907484535,-0.006880889956167452,-0.009424290494822232,-0.0039029209634233774,1.0
2864601_0.461,invariant_tilde_f,-0.014782432050490457,-0.014601944003222109,-0.019621688474446185,-0.010024251943257645,1.0
2864601_0.471,invariant_tilde_f,-0.009319390744082778,-0.009522305039437531,-0.013038114208666799,-0.005783478782102755,1.0
2864601_0.440,invariant_tilde_f,-0.005062906796620803,-0.004944175460997485,-0.00863688151623929,-0.0015412657282450712,0.996
2864601_0.457,invariant_tilde_f,-0.00528885688135039,-0.005247887678419744,-0.008691663516637733,-0.0020190312159468634,1.0
2864601_0.400,invariant_tilde_f,-0.006336501249115278,-0.006455994202613308,-0.00867010899193405,-0.003843451262951294,1.0
2864601_0.385,invariant_tilde_f,-0.009909085984439236,-0.009936788635293334,-0.014368366898694807,-0.005230140962600566,1.0
2864601_0.350,invariant_tilde_f,-0.015434645704979544,-0.015529648620111275,-0.0199338920067521,-0.011091638703076098,1.0
2864601_0.416,invariant_tilde_f,-0.009043377920091744,-0.009103860520599999,-0.01203955665795422,-0.006196790978095211,1.0
2864601_0.342,invariant_tilde_f,-0.004013136164305431,-0.004006445705592027,-0.006731238336996395,-0.0012530384479474258,1.0
2864601_0.359,invariant_tilde_f,-0.009364315618604957,-0.009300141176796756,-0.013137468821328954,-0.005981652020424793,1.0
2864601_0.475,invariant_tilde_f,-0.009170751706800206,-0.009070262284807978,-0.013369041012405578,-0.005409982096926276,1.0
2864601_0.462,invariant_tilde_f,-0.009747784307113483,-0.009738999830983863,-0.01343147864633231,-0.006297388929069863,1.0
2864601_0.268,invariant_tilde_f,-0.011303680043963371,-0.011228869551743098,-0.015885510793406235,-0.007117802913753339,1.0
2864601_0.262,invariant_tilde_f,-0.006667789565382276,-0.00669859376512566,-0.00965990459054268,-0.0033580311709593366,1.0
2864601_0.485,invariant_tilde_f,-0.005803023426171949,-0.005904471636242706,-0.008789765460341995,-0.003127342033325765,1.0
2864601_0.473,invariant_tilde_f,-0.005271879843703975,-0.005325288685584573,-0.007963012766310474,-0.0026434769267039723,1.0
2864601_0.189,invariant_tilde_f,-0.009372559685526527,-0.009448878419289264,-0.012858146136601169,-0.005417910143154557,1.0
2864601_0.395,invariant_tilde_f,-0.007345346224673144,-0.007542665821147265,-0.010679895157275583,-0.0041032656637089255,1.0
2864601_0.237,invariant_tilde_f,-0.011150398846136222,-0.011141193059143656,-0.01584289186664649,-0.007120599274371796,1.0
2864601_0.372,invariant_tilde_f,-0.0059982084202505614,-0.0060793881161071706,-0.009104761333315265,-0.0026749040751163082,0.998
2864601_0.472,invariant_tilde_f,-0.010710685210050308,-0.010506391638332224,-0.015589071625470805,-0.006724066251002799,1.0
2864601_0.436,invariant_tilde_f,-0.006253615490178721,-0.00629692999930298,-0.00890474394283386,-0.00367148117265648,1.0
2864601_0.454,invariant_tilde_f,-0.011291145890674648,-0.011085044285955192,-0.01575279081561099,-0.007078123437939422,1.0
2864601_0.377,invariant_tilde_f,-0.007061179308303633,-0.007137577831507036,-0.01103067716170961,-0.0029073224726233328,1.0
2864601_0.212,invariant_tilde_f,-0.010817848499762472,-0.010744927827584128,-0.01501594585606882,-0.007013060625933667,1.0
2864601_0.123,invariant_tilde_f,-0.007361122074684201,-0.007307837425640118,-0.009863360452689334,-0.004876903785179562,1.0
2864601_0.288,invariant_tilde_f,-0.0064692584414280385,-0.0065211181054689316,-0.010208645111908686,-0.0032364136378184236,1.0
2864601_0.349,invariant_tilde_f,-0.0087732864493133,-0.008766172785918236,-0.012447554753680187,-0.005562426375735581,1.0
2864601_0.510,invariant_tilde_f,-0.008110764581774343,-0.008366880400963894,-0.012930404443523584,-0.0030396263580687657,1.0
2864601_0.376,invariant_tilde_f,-0.006526166734081296,-0.006389260730667062,-0.00978927977230105,-0.0032303650404839047,1.0
2864601_0.305,invariant_tilde_f,-0.009666195184843185,-0.009514323041032308,-0.01326603610112764,-0.006283118352171251,1.0
2864601_0.496,invariant_tilde_f,-0.009279791445677477,-0.009112728252819086,-0.013787844740099992,-0.005146003078899495,1.0
2864601_0.261,invariant_tilde_f,-0.006523504695218618,-0.006719901202885209,-0.010134896776108085,-0.0029560850015965816,1.0
2864601_0.252,invariant_tilde_f,-0.005010072717760439,-0.0048767394336009795,-0.008243801234953212,-0.001777004550195272,0.998
2864601_0.208,invariant_tilde_f,-0.007393543079706855,-0.007336507509701773,-0.010762431041337497,-0.003891565120010783,1.0
2864601_0.230,invariant_tilde_f,-0.009265527569621679,-0.009274955281087155,-0.012645505625100898,-0.006138865471142393,1.0
2864601_0.452,invariant_tilde_f,-0.0025319680803603806,-0.0024473730593133625,-0.005549856257924164,0.0011737662496438287,0.912
2864601_0.498,invariant_tilde_f,-0.005769341097147496,-0.005767243418887652,-0.009113478096627037,-0.001673717208088104,0.996
2864601_0.271,invariant_tilde_f,-0.006188557283100138,-0.006205509667146947,-0.009430554025653395,-0.0031366073238583694,1.0
2864601_0.450,invariant_tilde_f,-0.00872239076032899,-0.008551558895543654,-0.013013762977616158,-0.00448288461928719,1.0
2864601_0.46,invariant_tilde_f,-0.012152931484090745,-0.011986151964487268,-0.01707273555977668,-0.007674467487815637,1.0
2864601_0.308,invariant_tilde_f,-0.006097550729220136,-0.0059440040874724764,-0.0092356935490189,-0.00240170236352847,1.0
2864601_0.163,invariant_tilde_f,-0.011859649900329783,-0.01178688221577781,-0.015547640235111383,-0.007919550720883113,1.0
2864601_0.246,invariant_tilde_f,-0.0084325065662465,-0.008513563349859588,-0.012113631250466654,-0.005075911406873678,1.0
2864601_0.438,invariant_tilde_f,-0.015727748726782065,-0.01572378172014713,-0.01940277192200234,-0.011890307883553138,1.0
2864601_0.362,invariant_tilde_f,-0.010369502380909612,-0.010381176825424637,-0.014305022782513332,-0.006649810667410926,1.0
2864601_0.136,invariant_tilde_f,-0.00416406514197637,-0.004193499106518089,-0.007615500901834454,-0.00075986459114473,0.988
2864601_0.250,invariant_tilde_f,-0.007987630972087711,-0.008012644553162446,-0.011801080710683424,-0.0044843046211237945,1.0
