entity,entity_type,shift,exact_pooling_subgroup,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change,original_reference_residual_std,rms_change_over_residual_std
2864601_0.246,member,53,False,-0.0015754486173391341,0.05548426031321287,0.12397947606764546,1.947914719581604,0.05793926489441362,0.2657287874423779,0.4665639626814233
2864601_0.246,member,54,False,-0.00017588969320058822,0.05304463192075491,0.11497702201889781,1.5283461809158325,0.053732152666051046,0.2657287874423779,0.43268560823064783
2864601_0.246,member,55,False,-0.001132902204990387,0.04963244420289993,0.11416752602145998,1.5486878156661987,0.05335385131719772,0.2657287874423779,0.4296392841750979
2864601_0.246,member,56,False,0.0019862626791000365,0.039161892391741275,0.08799248595855295,1.1022886037826538,0.041121483283966205,0.2657287874423779,0.33113644481456017
2864601_0.246,member,57,False,0.0010819705314934255,0.04855960469320417,0.10762487726444113,1.175085186958313,0.05029627863285124,0.2657287874423779,0.4050177562631565
2864601_0.246,member,58,False,0.002293698638677597,0.053632047064602374,0.11954406387987061,1.8522980213165283,0.05586646599402803,0.2657287874423779,0.44987246218399735
2864601_0.246,member,59,False,0.0011276272647082807,0.05617096083238721,0.1254530555780691,2.113998055458069,0.05862791205042217,0.2657287874423779,0.472109389372324
2864601_0.246,member,60,False,0.00141701265797019,0.05007456266507506,0.11334452759649792,2.116353154182434,0.05296923988582223,0.2657287874423779,0.4265421473052715
2864601_0.246,member,61,False,-9.1367457062006e-05,0.04936224817112088,0.1082299315728202,1.7971071004867554,0.05057903835212568,0.2657287874423779,0.4072947181015884
2864601_0.246,member,62,False,-0.00010260464996099472,0.0438348096460104,0.09810259144893793,1.0516881942749023,0.0458462336918343,0.2657287874423779,0.36918315246597455
2864601_0.246,member,63,False,-0.0022639413215219976,0.03357542506977916,0.08003909685991567,1.204451322555542,0.03740463004010463,0.2657287874423779,0.3012059688010724
2864601_0.246,member,64,True,7.003545761108398e-09,1.6279518604278566e-07,2.831197098584038e-07,2.384185791015625e-06,1.3231018864255728e-07,0.2657287874423779,1.0654461362030527e-06
2864601_0.246,member,65,False,-0.0025858253203332425,0.031605486635118724,0.07442644361136842,0.9661519527435303,0.03478167167923336,0.2657287874423779,0.2800842329794903
2864601_0.246,member,66,False,-0.0025519856475293636,0.04373009118810296,0.10090768503581037,1.402592033147812,0.04715713663753432,0.2657287874423779,0.3797393801666737
2864601_0.246,member,67,False,-0.0026061656884849072,0.05186659416928888,0.11804332465806566,1.6744462847709656,0.05516512630404457,0.2657287874423779,0.44422482710369815
2864601_0.246,member,68,False,-0.002463922880589962,0.04998495808243752,0.11400821654424166,1.4352836608886719,0.05327940130100547,0.2657287874423779,0.42903976509870556
2864601_0.246,member,69,False,-0.0041541532278060915,0.05277022626250982,0.11697731224010645,1.3679231405258179,0.054666947268095324,0.2657287874423779,0.44021317135416677
2864601_0.246,member,70,False,-0.0028046474754810334,0.05145046719163656,0.10814167831351017,0.965275764465332,0.05053779500176527,0.2657287874423779,0.4069626003052462
2864601_0.246,member,71,False,-0.004324795730412006,0.04900442376732826,0.10731935478912362,1.3017101287841797,0.050153498971329216,0.2657287874423779,0.4038680032452086
2864601_0.246,member,72,False,-0.0008402207568287849,0.036867772467434404,0.07831304399848482,0.807622104883194,0.03659799464260031,0.2657287874423779,0.2947104254388195
2864601_0.246,member,73,False,-0.0015860305465757846,0.04797673949971795,0.10283575879559118,1.3999450206756592,0.04805818235773851,0.2657287874423779,0.3869951757405684
2864601_0.246,member,74,False,0.0006119523085653781,0.052978236671537164,0.11277030838305173,1.5997121334075928,0.05270089031563072,0.2657287874423779,0.4243812251900087
2864601_0.246,member,75,False,-0.0018509100042283534,0.0564215850494802,0.12452079174203062,1.9931985139846802,0.058192237670589786,0.2657287874423779,0.468601061031193
2864601_0.246,member,76,False,-0.0015292283929884433,0.05091190196946263,0.11045230737166077,1.8417437672615051,0.05161762009313662,0.2657287874423779,0.4156580415496453
2864601_0.246,member,77,False,-0.0022161176428198816,0.05125224129110575,0.10934526041520397,1.46957129240036,0.05110026440738015,0.2657287874423779,0.4114919631690827
2864601_0.246,member,78,False,-0.0003020304478704929,0.04662448750063777,0.09903720049847671,1.0750128030776978,0.04628300405908764,0.2657287874423779,0.3727003063977496
2864601_0.246,member,79,False,-0.0019704222492873667,0.04010882588848472,0.0892240455303557,1.2336465120315552,0.0416970273863223,0.2657287874423779,0.3357710934864502
2864601_0.246,member,80,False,0.0012137586064636706,0.020228545408695935,0.044306781650947834,0.6091190576553345,0.020705865519971656,0.2657287874423779,0.1667368525533033
2864601_0.246,member,81,False,-0.002065059307962656,0.0379811498336494,0.08274129012404764,1.0258550643920898,0.03866744463081171,0.2657287874423779,0.3113749583567032
2864601_0.246,member,82,False,-0.002324679456651211,0.04936241683363914,0.10639758664532689,1.1510243341326714,0.04972272953796323,0.2657287874423779,0.400399172665471
2864601_0.246,member,83,False,-0.0026731731072068216,0.05555464383214712,0.12149435745523454,1.4496048092842102,0.05677789568924006,0.2657287874423779,0.4572118761561732
2864601_0.246,member,84,False,-0.0003369759991765022,0.053535454958677293,0.1212838915725748,1.7332382202148438,0.05667953877635874,0.2657287874423779,0.45641984347997927
2864601_0.246,member,85,False,-0.0015754539147019386,0.0554842593818903,0.12397947517783091,1.9479159116744995,0.057939264478577036,0.2657287874423779,0.4665639593328416
2864601_0.246,member,86,False,-0.0001758909672498703,0.05304462584853172,0.11497702411381726,1.5283478498458862,0.05373215364506867,0.2657287874423779,0.43268561611432305
2864601_0.246,member,87,False,-0.0011328928470611573,0.04963245733082294,0.11416757046549439,1.5486904382705688,0.05335387208720551,0.2657287874423779,0.42963945142846494
2864601_0.246,member,88,False,0.001986257553100586,0.039161899529397484,0.08799248973842343,1.1022852659225464,0.04112148505041114,0.2657287874423779,0.3311364590391028
2864601_0.246,member,89,False,0.0010819719024002551,0.04855960519984365,0.10762487780052186,1.175085425376892,0.05029627888337757,0.2657287874423779,0.40501775828055453
2864601_0.246,member,90,False,0.002293701596558094,0.05363203728199005,0.11954405005196699,1.8522980213165283,0.05586645953184092,0.2657287874423779,0.4498724101463399
2864601_0.246,member,91,False,0.0011276309639215469,0.056170956782996655,0.12545303805815203,2.113998293876648,0.058627903862848336,0.2657287874423779,0.4721093234407505
2864601_0.246,member,92,False,0.0014170114509761333,0.05007456323131919,0.11334452959879325,2.116353154182434,0.05296924082155387,0.2657287874423779,0.4265421548403803
2864601_0.246,member,93,False,-9.137557446956634e-05,0.04936224726587534,0.10822990491637749,1.797105073928833,0.050579025894784004,0.2657287874423779,0.4072946177871175
2864601_0.246,member,94,False,-0.00010260119289159774,0.0438348044604063,0.09810257995388666,1.0516888499259949,0.04584622831985789,0.2657287874423779,0.3691831092073898
2864601_0.246,member,95,False,-0.0022639430053532123,0.03357542743906379,0.08003910334753664,1.20445054769516,0.0374046330719612,0.2657287874423779,0.3012059932155178
2864601_0.438,member,0,True,0.0,0.0,0.0,0.0,0.0,0.2795146396020435,0.0
2864601_0.438,member,1,False,0.0037133683599531652,0.02825855704769492,0.07097600955759624,1.0457868874073029,0.034763037476544814,0.2795146396020435,0.2539259112104028
