member_id,mean_identity_max_abs,mean_identity_relative_l2,equivariance_max_abs,equivariance_relative_l2,alignment_max_abs,alignment_relative_l2,mean_identity_pass,equivariance_pass,alignment_pass
2864601_0.274,7.152557373046875e-07,1.0177375742159711e-07,4.76837158203125e-07,3.38951302580881e-08,2.0265579223632812e-06,2.418444466911751e-07,True,True,True
2864601_0.240,2.384185791015625e-07,8.472913748391875e-08,0.0,0.0,5.960464477539062e-07,2.1457925925005839e-07,True,True,True
2864601_0.417,1.9073486328125e-06,1.0681858952921175e-07,2.86102294921875e-06,3.2583770348537655e-08,2.86102294921875e-06,1.7966638665711798e-07,True,True,True
2864601_0.494,4.76837158203125e-07,8.396044393066404e-08,9.5367431640625e-07,6.133797114671324e-08,9.5367431640625e-07,1.9559918484901573e-07,True,True,True
2864601_0.260,2.384185791015625e-07,7.70250707660125e-08,3.5762786865234375e-07,3.7640944583472447e-08,5.960464477539062e-07,2.0248906196229655e-07,True,True,True
2864601_0.434,4.76837158203125e-07,1.0368472658228711e-07,0.0,0.0,9.5367431640625e-07,1.8574596083453798e-07,True,True,True
2864601_0.460,3.5762786865234375e-07,8.344284196937224e-08,0.0,0.0,1.1920928955078125e-06,2.0834787051171588e-07,True,True,True
2864601_0.402,2.384185791015625e-07,7.369201426854488e-08,9.5367431640625e-07,3.94603034692409e-08,4.76837158203125e-07,1.3677464494321612e-07,True,True,True
2864601_0.279,2.384185791015625e-07,8.226840009228908e-08,0.0,0.0,4.76837158203125e-07,1.734242545126108e-07,True,True,True
2864601_0.353,4.76837158203125e-07,8.892877900734675e-08,4.76837158203125e-07,2.79689889026713e-08,7.152557373046875e-07,1.3631886019993544e-07,True,True,True
2864601_0.175,5.960464477539062e-07,8.054327338413714e-08,4.76837158203125e-07,1.6646506395545657e-08,3.337860107421875e-06,1.8928790268546436e-07,True,True,True
2864601_0.277,2.384185791015625e-07,9.612807616576902e-08,5.364418029785156e-07,4.3409052352672006e-08,7.152557373046875e-07,1.9251838523359766e-07,True,True,True
2864601_0.463,7.152557373046875e-07,5.6351307620161606e-08,0.0,0.0,1.9073486328125e-06,1.4396663061688741e-07,True,True,True
2864601_0.229,4.76837158203125e-07,8.489725900062695e-08,0.0,0.0,1.1920928955078125e-06,2.1982523890073935e-07,True,True,True
2864601_0.224,2.384185791015625e-07,6.769781890625381e-08,1.430511474609375e-06,1.2094528756279033e-07,1.341104507446289e-06,1.7892156733978481e-07,True,True,True
2864601_0.373,4.76837158203125e-07,1.0545455353394573e-07,4.76837158203125e-07,4.747566961782468e-08,9.5367431640625e-07,2.121124254017559e-07,True,True,True
2864601_0.481,2.384185791015625e-07,8.585292476936957e-08,0.0,0.0,5.364418029785156e-07,1.3497451334387733e-07,True,True,True
2864601_0.289,7.152557373046875e-07,8.399977247108836e-08,0.0,0.0,1.430511474609375e-06,2.007939485793031e-07,True,True,True
2864601_0.393,2.384185791015625e-07,8.244104776622407e-08,7.152557373046875e-07,3.6656171431559414e-08,9.5367431640625e-07,1.9863335865011322e-07,True,True,True
2864601_0.406,4.76837158203125e-07,9.627219554886324e-08,9.5367431640625e-07,5.285598803084213e-08,1.5497207641601562e-06,2.228260882475297e-07,True,True,True
2864601_0.206,2.384185791015625e-07,8.212682445218888e-08,4.172325134277344e-07,2.7934262902817864e-08,5.960464477539062e-07,2.4039508161877166e-07,True,True,True
2864601_0.284,9.5367431640625e-07,6.24253857495205e-08,1.0728836059570312e-06,3.094240597079079e-08,1.1920928955078125e-06,1.5217366922115616e-07,True,True,True
2864601_0.235,2.384185791015625e-07,9.333145101209084e-08,0.0,0.0,9.5367431640625e-07,2.434672410345229e-07,True,True,True
