entity,entity_type,gradient_set,stratum,n,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change
2864601_0.263,member,varied,stable_near_floor,240,-6.399447253594796e-09,9.021847896898786e-08,1.289233440731032e-07,2.384185791015625e-07,6.761647917331964e-08
2864601_0.263,member,varied,unstable,760,-1.3631621473713925e-08,8.63826196444662e-08,1.4874929339484738e-07,9.5367431640625e-07,7.034363000733355e-08
2864601_0.263,member,fixed,all,1000,8.58306884765625e-09,1.0514259338378906e-07,1.530342725360986e-07,4.76837158203125e-07,7.497035179355554e-08
2864601_0.263,member,fixed,stable_near_floor,23,-1.5549037767493206e-08,6.737916365913722e-08,1.024874393488282e-07,2.384185791015625e-07,5.906275381764594e-08
2864601_0.263,member,fixed,unstable,977,9.15117371167717e-09,1.0603159940596613e-07,1.540244967173808e-07,4.76837158203125e-07,7.52103041150328e-08
2864601_0.211,member,varied,all,1000,-8.525967132300139e-10,8.455498027615249e-08,1.4396252220245661e-07,9.5367431640625e-07,6.987212417655988e-08
2864601_0.211,member,varied,stable_near_floor,240,-1.895023160614073e-09,7.789094524923712e-08,1.1816580091937819e-07,3.5762786865234375e-07,6.180683804469425e-08
2864601_0.211,member,varied,unstable,760,-5.234094140561003e-10,8.665941238991524e-08,1.5119719712154436e-07,9.5367431640625e-07,7.182440251592111e-08
2864601_0.211,member,fixed,all,1000,3.0994415283203124e-09,1.0991096496582032e-07,1.4364595729248113e-07,4.76837158203125e-07,7.279216102396126e-08
2864601_0.211,member,fixed,stable_near_floor,23,2.0732050356657608e-08,1.6585640285326086e-07,1.9572307325963565e-07,3.5762786865234375e-07,9.800059572688007e-08
2864601_0.211,member,fixed,unstable,977,2.684344288758636e-09,1.0859392804523573e-07,1.4219038102710517e-07,4.76837158203125e-07,7.207513428041211e-08
2864601_0.292,member,varied,all,1000,1.0560499504208565e-08,8.902722038328648e-08,1.4111150533262143e-07,9.5367431640625e-07,6.806920651043177e-08
2864601_0.292,member,varied,stable_near_floor,240,2.1226393679777782e-08,9.424208352963129e-08,1.3186471983840796e-07,3.5762786865234375e-07,6.875501804971286e-08
2864601_0.292,member,varied,unstable,760,7.192322396134076e-09,8.738042149496706e-08,1.4390815737139804e-07,9.5367431640625e-07,6.789078239717515e-08
2864601_0.292,member,fixed,all,1000,-3.314018249511719e-08,1.5854835510253907e-07,2.0961861267407672e-07,7.152557373046875e-07,1.0366754059932136e-07
2864601_0.292,member,fixed,stable_near_floor,23,-3.109807553498641e-08,1.7622242803158966e-07,2.049748786976564e-07,2.384185791015625e-07,1.0035419314431485e-07
2864601_0.292,member,fixed,unstable,977,-3.3188256661015864e-08,1.5813228173778146e-07,2.0972669415776522e-07,7.152557373046875e-07,1.0374586629684533e-07
2864601_0.276,member,varied,all,1000,-8.709728717803955e-09,9.121838957071304e-08,1.4281509192083399e-07,4.76837158203125e-07,6.904557473274578e-08
2864601_0.276,member,varied,stable_near_floor,240,-1.4373411734898885e-08,9.73232090473175e-08,1.4005720891793565e-07,4.76837158203125e-07,7.27305680021781e-08
2864601_0.276,member,varied,unstable,760,-6.921197238721346e-09,8.9290551841259e-08,1.436750044901436e-07,4.76837158203125e-07,6.804457761185915e-08
2864601_0.276,member,fixed,all,1000,6.556510925292969e-09,1.1408329010009765e-07,1.6625315762736026e-07,4.76837158203125e-07,8.267814845647475e-08
2864601_0.276,member,fixed,stable_near_floor,23,1.0366025178328804e-08,1.5549037767493207e-07,1.925403721540566e-07,2.384185791015625e-07,9.575229509621512e-08
2864601_0.276,member,fixed,unstable,977,6.466829422918532e-09,1.131085070763298e-07,1.65584047863969e-07,4.76837158203125e-07,8.234536912951834e-08
2864601_0.427,member,varied,all,1000,-6.974441930651664e-10,8.518330287188292e-08,1.369759762332586e-07,4.76837158203125e-07,6.616931803988815e-08
2864601_0.427,member,varied,stable_near_floor,240,-6.270905335744222e-09,8.07767113049825e-08,1.1827821141753382e-07,2.384185791015625e-07,6.211478657046943e-08
2864601_0.427,member,varied,unstable,760,1.0625961677808512e-09,8.657485810353568e-08,1.42371278861694e-07,4.76837158203125e-07,6.716338203202722e-08
2864601_0.427,member,fixed,all,1000,-2.384185791015625e-10,8.678436279296875e-08,1.1777009043911428e-07,3.5762786865234375e-07,6.027251244094761e-08
2864601_0.427,member,fixed,stable_near_floor,23,-5.183012589164402e-09,8.811121401579483e-08,1.2916000816487346e-07,3.5762786865234375e-07,6.51459283936675e-08
2864601_0.427,member,fixed,unstable,977,-1.2201564948902892e-10,8.675312678669956e-08,1.1748865284056757e-07,3.5762786865234375e-07,6.014940762695306e-08
2864601_0.461,member,varied,all,1000,-2.6496127247810366e-09,8.530914783477783e-08,1.3805015131605686e-07,9.5367431640625e-07,6.674623682880251e-08
2864601_0.461,member,varied,stable_near_floor,240,3.663202126820882e-09,9.120752414067587e-08,1.3087385419710312e-07,2.384185791015625e-07,6.858649589853092e-08
2864601_0.461,member,varied,unstable,760,-4.643133204234274e-09,8.344650268554687e-08,1.4024007849046562e-07,9.5367431640625e-07,6.626556424015924e-08
2864601_0.461,member,fixed,all,1000,1.9192695617675782e-08,1.341104507446289e-07,1.8059322127751252e-07,5.960464477539062e-07,8.983557132509911e-08
2864601_0.461,member,fixed,stable_near_floor,23,-3.109807553498641e-08,1.1402627696161685e-07,1.4493912670000286e-07,3.5762786865234375e-07,7.321090605578537e-08
2864601_0.461,member,fixed,unstable,977,2.037661346466783e-08,1.3458326138639888e-07,1.813481372651259e-07,5.960464477539062e-07,9.017912547328004e-08
2864601_0.471,member,varied,all,1000,-3.166496753692627e-11,8.328258991241456e-08,1.3617414482976052e-07,7.152557373046875e-07,6.582970970665889e-08
2864601_0.471,member,varied,stable_near_floor,240,-3.5700698693593344e-09,8.683030803998311e-08,1.2814944479933278e-07,3.5762786865234375e-07,6.713224565073299e-08
2864601_0.471,member,varied,unstable,760,1.0857260540912025e-09,8.216225787212974e-08,1.3861177549063378e-07,7.152557373046875e-07,6.549093189471161e-08
2864601_0.471,member,fixed,all,1000,7.152557373046875e-09,1.2111663818359375e-07,1.7291511883229014e-07,4.76837158203125e-07,7.565699316060069e-08
2864601_0.471,member,fixed,stable_near_floor,23,5.183012589164402e-08,1.1402627696161685e-07,1.6488172407343975e-07,2.384185791015625e-07,6.871284378739458e-08
2864601_0.471,member,fixed,unstable,977,6.100782474451446e-09,1.2128355559209473e-07,1.730997449816389e-07,4.76837158203125e-07,7.582914217097566e-08
2864601_0.440,member,varied,all,1000,-4.966743290424347e-09,8.080992847681046e-08,1.304864539850838e-07,4.76837158203125e-07,6.338094555287915e-08
2864601_0.440,member,varied,stable_near_floor,240,6.829698880513509e-10,7.171183824539185e-08,1.05827098424299e-07,2.384185791015625e-07,5.624388232329414e-08
2864601_0.440,member,varied,unstable,760,-6.750863241521935e-09,8.368300960252159e-08,1.373569338534112e-07,4.76837158203125e-07,6.504774351827708e-08
2864601_0.440,member,fixed,all,1000,5.245208740234375e-09,9.679794311523438e-08,1.3036940683834378e-07,4.76837158203125e-07,6.855154772937342e-08
2864601_0.440,member,fixed,stable_near_floor,23,1.0366025178328804e-08,1.1402627696161685e-07,1.4493912670000286e-07,4.76837158203125e-07,1.0360426162701918e-07
