entity,function,stratum,n,r2,mse,bias,residual_q01,residual_q05,residual_q25,residual_q50,residual_q75,residual_q95,residual_q99,residual_std,cost_scope,wall_seconds,microseconds_per_sample
2864601_0.475,original_f,unstable,6615.0,0.9685724784076691,0.09447090741732753,-0.0022005638753397295,-0.9143095922470093,-0.44820867776870715,-0.12246167659759521,0.003916740417480469,0.13085830211639404,0.4188582360744476,0.8564594918489438,0.30737655681488046,single_member,10.754519749898463,1099.082243219056
2864601_0.475,shift_averaged_bar_f,all,9785.0,0.9863867363844938,0.06591744814982722,0.00873533252799585,-0.7636153012514114,-0.33646621704101565,-0.0513761043548584,0.0023533105850219727,0.07853043079376221,0.36322962641715933,0.7927767431735988,0.2566084012386051,single_member,309.2060023746453,31600.000242682203
2864601_0.475,shift_averaged_bar_f,stable_near_floor,3170.0,-927.8268761553085,0.02460113827026077,0.03136399766483142,-0.03696252822875976,-0.01326761245727539,-0.0027289390563964844,0.0023646950721740723,0.009650617837905884,0.12827280163764926,0.7456470346450789,0.15370390550538388,single_member,309.2060023746453,31600.000242682203
2864601_0.475,shift_averaged_bar_f,unstable,6615.0,0.9714846971607357,0.08571679846248416,-0.0021086385201929225,-0.8884595793485641,-0.4336614787578582,-0.11383795738220215,0.002261146903038025,0.12640182673931122,0.40121453963220094,0.7986311680078482,0.29278885111426983,single_member,309.2060023746453,31600.000242682203
2864601_0.475,invariant_tilde_f,all,9785.0,0.9861932672527342,0.06685425447500794,0.009719284502722754,-0.7644818782806396,-0.3371393084526062,-0.05046284198760986,0.0024061203002929688,0.08020301163196564,0.36120427846908554,0.794306478500366,0.25839236317549397,single_member,4.2258269167505205,431.86785045994077
2864601_0.475,invariant_tilde_f,stable_near_floor,3170.0,-940.6448220572515,0.024940637554325087,0.030032519951509754,-0.03847317934036255,-0.013796114921569824,-0.0030395984649658203,0.0022335052490234375,0.009409964084625244,0.11690378785133321,0.7545991086959826,0.15506860054213262,single_member,4.2258269167505205,431.86785045994077
2864601_0.475,invariant_tilde_f,unstable,6615.0,0.9710778285489914,0.08693984262898596,-1.5100436454085536e-05,-0.8889698745310306,-0.431991696357727,-0.11326169967651367,0.004189610481262207,0.12968885898590088,0.40504511818289746,0.8069152295589421,0.29487791918250583,single_member,4.2258269167505205,431.86785045994077
2864601_0.462,original_f,all,9785.0,0.9851387017176019,0.07196061772088617,0.011621590688089756,-0.7700827121734619,-0.3645049750804901,-0.05897259712219238,0.003344893455505371,0.08593559265136719,0.3915765762329099,0.8682422256469712,0.26801659925212884,single_member,3.796021250076592,387.9428972996006
2864601_0.462,original_f,stable_near_floor,3170.0,-1121.2978252642392,0.029725457659045922,0.03724545871703783,-0.043863794803619384,-0.022283899784088134,-0.006357431411743164,0.003521442413330078,0.01791214942932129,0.19245252609252803,0.7742356586456297,0.16836619551071177,single_member,3.796021250076592,387.9428972996006
2864601_0.462,original_f,unstable,6615.0,0.9693278406647579,0.09220029382005979,-0.0006577232426381934,-0.956980310678482,-0.4566513776779174,-0.13019615411758423,0.001784205436706543,0.13520386815071106,0.4343897318467494,0.8995090249180727,0.3036672542870181,single_member,3.796021250076592,387.9428972996006
2864601_0.462,shift_averaged_bar_f,all,9785.0,0.9862666447196353,0.06649894986132822,0.012360927190149905,-0.7401290029287338,-0.33906152248382565,-0.0564420223236084,0.00340116024017334,0.08163750171661377,0.38183021545410145,0.8134081447124478,0.25759064118780783,single_member,80.12822291674092,8188.883282242302
2864601_0.462,shift_averaged_bar_f,stable_near_floor,3170.0,-1068.4345344162832,0.02832530746856616,0.0368114565096631,-0.04103367805480957,-0.020991313457489013,-0.005900382995605469,0.0033049583435058594,0.017408907413482666,0.17906306982040207,0.7559908699989315,0.16425204650198366,single_member,80.12822291674092,8188.883282242302
