entity,entity_type,gradient_set,stratum,n,transform,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change,original_reference_residual_std,rms_change_over_residual_std
2864601_0.449,member,fixed,stable_near_floor,23,stellarator_parity,0.00304741444795028,0.006221408429353133,0.01590409079317113,0.06495380401611328,0.008140842966935437,,
2864601_0.449,member,fixed,stable_near_floor,23,plain_reversal_control,0.02067131581513778,0.034694039303323494,0.08328083198061964,0.3453190326690674,0.04262904331513673,,
2864601_0.449,member,fixed,unstable,977,stellarator_parity,0.0002989282825830161,0.023016329317095335,0.0443462656650192,0.3776986002922058,0.019141503902146247,,
2864601_0.449,member,fixed,unstable,977,plain_reversal_control,-0.054136439631697834,0.2052314396082074,0.2877173582172689,2.48861026763916,0.12418955356088325,,
2864601_0.340,member,varied,all,1000,stellarator_parity,0.0016595362350344657,0.02620552422851324,0.05919017652197523,0.8955756276845932,0.028535419581382573,0.25888375561514304,0.2286361165509644
2864601_0.340,member,varied,all,1000,plain_reversal_control,-0.0991856927126646,0.3013610031157732,0.4798748596528774,3.3654452562332153,0.23134633602026916,0.25888375561514304,1.853630632453664
2864601_0.340,member,varied,stable_near_floor,240,stellarator_parity,0.0014394592493772508,0.007563259328405062,0.022766659072619405,0.16385459899902344,0.011797903752189566,0.16141096534523544,0.1410477846032623
2864601_0.340,member,varied,stable_near_floor,240,plain_reversal_control,0.027022570775200924,0.08740662277365724,0.25335038856237313,1.9971879497170448,0.13128863090120532,0.16141096534523544,1.5695983728273488
2864601_0.340,member,varied,unstable,760,stellarator_parity,0.0017290342305051653,0.03209255524960004,0.06667951643400866,0.8955756276845932,0.03148424993494005,0.29342904353517657,0.22724238756554802
2864601_0.340,member,varied,unstable,760,plain_reversal_control,-0.13904093381409582,0.3689255442764414,0.5317240334324349,3.3654452562332153,0.25106559345806523,0.29342904353517657,1.8121043064664841
2864601_0.340,member,fixed,all,1000,stellarator_parity,0.0023367613554000854,0.023285920321941374,0.06562270251330761,1.2471522688865662,0.028460930009362242,,
2864601_0.340,member,fixed,all,1000,plain_reversal_control,-0.1325768170133233,0.27611408910900354,0.39463293672525346,3.664997696876526,0.17115449320681142,,
