gradient_set,stratum,n,shift,exact_pooling_subgroup,entity,rms_change_q10,rms_change_median,rms_change_q90,rms_over_residual_std_q10,rms_over_residual_std_median,rms_over_residual_std_q90
varied,all,1000,50,False,member_distribution,0.11698582539931256,0.14076723504395944,0.16261409218808934,0.4394376000455957,0.5178796183337352,0.6014039062656605
varied,all,1000,50,False,ensemble_mean,0.014080924460727647,0.014080924460727647,0.014080924460727647,0.06190615507024813,0.06190615507024813,0.06190615507024813
varied,all,1000,50,False,ensemble_spread,0.014174319205186603,0.014174319205186603,0.014174319205186603,,,
varied,all,1000,51,False,member_distribution,0.12731778257453039,0.15138895883419873,0.17231557964908015,0.4737250079685208,0.5650490811098012,0.6400161970917833
varied,all,1000,51,False,ensemble_mean,0.015197029462197231,0.015197029462197231,0.015197029462197231,0.06681306082692351,0.06681306082692351,0.06681306082692351
varied,all,1000,51,False,ensemble_spread,0.014595402748935884,0.014595402748935884,0.014595402748935884,,,
varied,all,1000,52,False,member_distribution,0.12422299421739615,0.14692631465297656,0.16802503240788902,0.45391689038927596,0.5462075509067077,0.6290581857376705
varied,all,1000,52,False,ensemble_mean,0.014201257796326526,0.014201257796326526,0.014201257796326526,0.06243519520212875,0.06243519520212875,0.06243519520212875
varied,all,1000,52,False,ensemble_spread,0.014532090995334876,0.014532090995334876,0.014532090995334876,,,
varied,all,1000,53,False,member_distribution,0.1381020503599238,0.157576495216324,0.17882959955243075,0.5052085329688926,0.5924186909127551,0.6655886689385537
varied,all,1000,53,False,ensemble_mean,0.016019860296827542,0.016019860296827542,0.016019860296827542,0.07043059981644618,0.07043059981644618,0.07043059981644618
varied,all,1000,53,False,ensemble_spread,0.014954422611927585,0.014954422611927585,0.014954422611927585,,,
varied,all,1000,54,False,member_distribution,0.13387768048886822,0.158112620502235,0.17801807550645743,0.4957974895795713,0.5825270400246139,0.6640883442703993
varied,all,1000,54,False,ensemble_mean,0.01583653716536466,0.01583653716536466,0.01583653716536466,0.06962462786226398,0.06962462786226398,0.06962462786226398
varied,all,1000,54,False,ensemble_spread,0.014876119022422633,0.014876119022422633,0.014876119022422633,,,
varied,all,1000,55,False,member_distribution,0.1226683753232343,0.14193481249729845,0.16468196133802238,0.45314208805288025,0.5325529405522543,0.6097312214468323
varied,all,1000,55,False,ensemble_mean,0.014460733948297567,0.014460733948297567,0.014460733948297567,0.06357597050745416,0.06357597050745416,0.06357597050745416
varied,all,1000,55,False,ensemble_spread,0.014209371725924347,0.014209371725924347,0.014209371725924347,,,
varied,all,1000,56,False,member_distribution,0.09583204738106132,0.11457228434144387,0.1371056589889272,0.3525163711057361,0.4279309453978006,0.5176951555913669
varied,all,1000,56,False,ensemble_mean,0.011981516683029204,0.011981516683029204,0.011981516683029204,0.05267620260481401,0.05267620260481401,0.05267620260481401
varied,all,1000,56,False,ensemble_spread,0.011717423782892393,0.011717423782892393,0.011717423782892393,,,
varied,all,1000,57,False,member_distribution,0.12012238556075801,0.13947709517992157,0.15758524478081357,0.43945328644990006,0.5162911498258023,0.5999046473243641
varied,all,1000,57,False,ensemble_mean,0.014135938748621792,0.014135938748621792,0.014135938748621792,0.062148022928211075,0.062148022928211075,0.062148022928211075
varied,all,1000,57,False,ensemble_spread,0.013825164756035426,0.013825164756035426,0.013825164756035426,,,
varied,all,1000,58,False,member_distribution,0.12967171133280922,0.15486041575883835,0.17859573224973238,0.48023606894809545,0.5759249776206463,0.6615948129310926
varied,all,1000,58,False,ensemble_mean,0.015807128519532684,0.015807128519532684,0.015807128519532684,0.0694953340652297,0.0694953340652297,0.0694953340652297
varied,all,1000,58,False,ensemble_spread,0.015312904778704187,0.015312904778704187,0.015312904778704187,,,
varied,all,1000,59,False,member_distribution,0.13413440553676811,0.15433525333947648,0.17653450704308182,0.48977862306586917,0.5752573685129334,0.6642688959885967
varied,all,1000,59,False,ensemble_mean,0.01651339423505044,0.01651339423505044,0.01651339423505044,0.07260039971824028,0.07260039971824028,0.07260039971824028
varied,all,1000,59,False,ensemble_spread,0.01482666428325084,0.01482666428325084,0.01482666428325084,,,
varied,all,1000,60,False,member_distribution,0.11697641286916789,0.13884140717391746,0.16387738918239744,0.4297211865868166,0.517044427334961,0.6091429417185592
varied,all,1000,60,False,ensemble_mean,0.014705519548448691,0.014705519548448691,0.014705519548448691,0.06465215945827082,0.06465215945827082,0.06465215945827082
varied,all,1000,60,False,ensemble_spread,0.015444422028999453,0.015444422028999453,0.015444422028999453,,,
