target_kind,target_id,row_id,equilibrium_file,stable_or_near_floor,target_native_value,ebm_oof_prediction,signed_residual_target_minus_formula,fold,split_unit
member_output,2864601_0.437,10769,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002709.h5,True,-2.0067763328552246,-1.771889806241464,-0.23488652661376053,3,equilibrium_files
member_output,2864601_0.437,10974,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002761.h5,False,1.8525364398956299,0.7169871617425886,1.1355492781530412,0,equilibrium_files
member_output,2864601_0.437,11016,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002771.h5,False,0.03757622092962265,0.15240444245700263,-0.11482822152737998,1,equilibrium_files
member_output,2864601_0.437,11036,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002776.h5,False,3.1770060062408447,2.4003134194315323,0.7766925868093124,3,equilibrium_files
member_output,2864601_0.437,11091,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002790.h5,False,2.3357903957366943,0.7538515267041928,1.5819388690325016,1,equilibrium_files
member_output,2864601_0.437,11221,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002823.h5,False,0.35933053493499756,0.9181453681653581,-0.5588148332303605,4,equilibrium_files
member_output,2864601_0.437,11239,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002827.h5,True,-1.637719750404358,-1.30230380419631,-0.33541594620804793,0,equilibrium_files
member_output,2864601_0.437,11257,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002832.h5,True,-2.060142993927002,-0.44542564780699306,-1.6147173461200088,0,equilibrium_files
member_output,2864601_0.437,11465,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002884.h5,True,-2.029864549636841,-1.0103045625644715,-1.0195599870723693,0,equilibrium_files
member_output,2864601_0.437,11517,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002897.h5,False,2.492433547973633,2.228043171980803,0.2643903759928299,0,equilibrium_files
member_output,2864601_0.437,11564,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002908.h5,True,-1.8429275751113892,-1.2054960388005507,-0.6374315363108385,2,equilibrium_files
member_output,2864601_0.437,11632,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002926.h5,False,2.6147959232330322,2.051507603235195,0.5632883199978371,0,equilibrium_files
