perturbation,family,registered_dose,path_dose,replicate,validity_tag,n,reconstruction_rms_median,reconstruction_percentile_median,nearest_distance_median,nearest_percentile_median,warning_score_median,warning_score_q90,fraction_outside_heldout_central_95pct,warning_tail_definition,cyclic_anchor,interpretation
random_joint_shift_r1,random_joint_shift,1.0,0.75,1,exact_symmetry,1000,0.529970906215947,0.2490234375,2.077527032659818,0.607421875,0.7734375,0.984375,0.161,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
random_joint_shift_r1,random_joint_shift,1.0,1.0,1,exact_symmetry,1000,0.6501721361722594,0.47265625,2.0477846089634077,0.595703125,0.71875,0.96484375,0.111,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
joint_permutation_r1,joint_permutation,1.0,0.0,1,deliberately_off_manifold_diagnostic,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
joint_permutation_r1,joint_permutation,1.0,0.25,1,deliberately_off_manifold_diagnostic,1000,0.5637006708387873,0.3173828125,1.9938986458194008,0.560546875,0.73828125,0.96875,0.118,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
joint_permutation_r1,joint_permutation,1.0,0.5,1,deliberately_off_manifold_diagnostic,1000,0.5903886209179716,0.3662109375,2.0626579987201206,0.603515625,0.6953125,0.94921875,0.097,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
joint_permutation_r1,joint_permutation,1.0,0.75,1,deliberately_off_manifold_diagnostic,1000,0.7363593685175185,0.595703125,2.0505364370044017,0.595703125,0.6328125,0.94140625,0.079,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
joint_permutation_r1,joint_permutation,1.0,1.0,1,deliberately_off_manifold_diagnostic,1000,0.9478937047874549,0.80859375,2.094381359677543,0.6162109375,0.7109375,0.953125,0.103,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
independent_channel_shift_r1,independent_shift,1.0,0.0,1,deliberately_off_manifold_diagnostic,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
independent_channel_shift_r1,independent_shift,1.0,0.25,1,deliberately_off_manifold_diagnostic,1000,0.5345493618649222,0.259765625,2.093055150781427,0.615234375,0.755859375,0.98046875,0.155,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
independent_channel_shift_r1,independent_shift,1.0,0.5,1,deliberately_off_manifold_diagnostic,1000,0.5345542384084524,0.259765625,2.2324066531119695,0.666015625,0.76953125,0.98046875,0.148,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
independent_channel_shift_r1,independent_shift,1.0,0.75,1,deliberately_off_manifold_diagnostic,1000,0.6268720772978801,0.4375,2.3490581352371507,0.6875,0.701171875,0.94140625,0.088,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
independent_channel_shift_r1,independent_shift,1.0,1.0,1,deliberately_off_manifold_diagnostic,1000,0.7866754408593003,0.6552734375,2.5398661700516407,0.7421875,0.69140625,0.94140625,0.071,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
