entity,entity_type,convention,a_over_LT_input,n,prediction_mean,prediction_std,prediction_min,prediction_max,fraction_within_0p05_of_floor,r2_against_fixed_target,mean_absolute_error
2864601_0.163,member,training,3.0,1000,2.0031899812817575,1.1548508268038078,-2.021129846572876,5.968740463256836,0.015,0.981465275970846,0.10677826477284544
2864601_0.246,member,training,3.0,1000,2.010265607856214,1.1460071117994064,-2.0114874839782715,5.685303688049316,0.016,0.9832752145129774,0.09956477523525245
2864601_0.438,member,training,3.0,1000,2.0006285623311997,1.1530900290956503,-2.016475200653076,6.175171852111816,0.016,0.9806038364315443,0.10864311849628575
2864601_0.362,member,training,3.0,1000,2.0200133993551135,1.1352529537119422,-2.0399584770202637,5.613320350646973,0.015,0.9812057018257929,0.10654813121701591
2864601_0.136,member,training,3.0,1000,2.0091112757027147,1.1514948636269684,-2.0178704261779785,5.692200660705566,0.015,0.9862819089507799,0.09474617848242634
2864601_0.250,member,training,3.0,1000,2.0306616060882807,1.1304601009968396,-1.9982795715332031,5.885430812835693,0.014,0.9808356492086663,0.10905431359936484
2864601_0.247,member,training,3.0,1000,1.998810398042202,1.1581180474857302,-2.003632068634033,6.097028732299805,0.018,0.9859040374296079,0.09757333220611326
2864601_0.382,member,training,3.0,1000,2.000309465318918,1.1395698750623175,-1.9996029138565063,6.0428619384765625,0.015,0.9828441589939636,0.10583817161689513
2864601_0.307,member,training,3.0,1000,2.004985339820385,1.1519624962518453,-2.0225768089294434,5.580840587615967,0.01,0.9796344575312366,0.1080875271416735
2864601_0.339,member,training,3.0,1000,2.0035043145641684,1.1436288611175214,-2.0190210342407227,5.5252485275268555,0.015,0.9726104235614019,0.11539504893799313
2864601_0.426,member,training,3.0,1000,2.000744863241911,1.1476604514203614,-2.0122368335723877,5.714732646942139,0.018,0.9817580743957793,0.10285868620430119
2864601_0.379,member,training,3.0,1000,2.0072798479646443,1.1500954638965293,-2.038970470428467,5.46137809753418,0.019,0.9760136066914167,0.11620962182735092
ensemble_mean,ensemble,training,3.0,1000,2.006224050283239,1.1453105851527696,-2.0002754032611847,5.58965681552887,0.014,0.9883024277830708,0.07865581876666985
2864601_0.437,member,legacy_marker,-3.0,1000,-1.9734340218305588,0.02300316391290162,-2.0521278381347656,-1.8382664918899536,0.87,-11.737763424743509,3.981304752833443
2864601_0.371,member,legacy_marker,-3.0,1000,-2.0462935725450517,0.011107770950220856,-2.085476875305176,-1.992817759513855,1.0,-12.172951469716219,4.051126772648888
2864601_0.409,member,legacy_marker,-3.0,1000,-2.233555784225464,0.10452442596492595,-2.6684482097625732,-2.0001041889190674,1.0,-13.259097650726625,4.238329780466156
2864601_0.386,member,legacy_marker,-3.0,1000,-1.9513858127593995,0.006219296077209319,-1.9715428352355957,-1.9230310916900635,0.62,-11.60898989437321,3.9589540256329347
2864601_0.355,member,legacy_marker,-3.0,1000,-1.9995821523666382,0.0060759868082593885,-2.032782554626465,-1.9659900665283203,1.0,-11.884994392335859,4.0043561486073305
2864601_0.449,member,legacy_marker,-3.0,1000,-2.040026836156845,0.016944184836393667,-2.2101242542266846,-2.0182721614837646,1.0,-12.126039459568702,4.044800832397537
2864601_0.340,member,legacy_marker,-3.0,1000,-2.0023443584442138,0.007036403683132735,-2.0377860069274902,-1.9856324195861816,1.0,-11.907025402334325,4.007162068254547
2864601_0.296,member,legacy_marker,-3.0,1000,-2.102806335926056,0.027897474338214465,-2.2152774333953857,-1.9460198879241943,0.998,-12.484688604900086,4.107580332166748
2864601_0.270,member,legacy_marker,-3.0,1000,-1.9849239978790283,0.033683882098273076,-2.323524236679077,-1.9091670513153076,0.876,-11.826465413653624,3.9902553371258547
2864601_0.352,member,legacy_marker,-3.0,1000,-2.0700052230358126,0.09192776445043897,-2.4421966075897217,-1.7075026035308838,0.928,-12.234566360119636,4.074779219276505
2864601_0.487,member,legacy_marker,-3.0,1000,-1.8757013311386108,0.020495121672586412,-1.9850714206695557,-1.801621675491333,0.005,-11.151217992240955,3.8848576377697754
2864601_0.272,member,legacy_marker,-3.0,1000,-1.9973854198455812,0.005860843853025818,-2.0180819034576416,-1.9765386581420898,1.0,-11.867837697309755,4.002159454710083
2864601_0.404,member,legacy_marker,-3.0,1000,-2.5297097411155702,0.10438328768966909,-3.190305233001709,-2.2666468620300293,1.0,-15.377527807216655,4.534483737356262
2864601_0.274,member,legacy_marker,-3.0,1000,-1.803105842113495,0.06550659608005159,-2.2169618606567383,-1.6106642484664917,0.004,-10.828525372911237,3.820969698078232
2864601_0.240,member,legacy_marker,-3.0,1000,-1.9972265486717224,0.02483686785721118,-2.1160597801208496,-1.9244571924209595,0.991,-11.885175469990502,4.002480371601181
2864601_0.417,member,legacy_marker,-3.0,1000,-3.1712594621181487,0.21535238625152678,-4.311091423034668,-2.750580310821533,1.0,-19.74069585689287,5.176033458358841
