entity,entity_type,gradient_set,stratum,n,shift,mean_absolute_change,rms_change,max_absolute_change
2864601_0.274,member,fixed,stable_near_floor,23,32,2.746996672257133e-07,3.6277385783396834e-07,9.5367431640625e-07
2864601_0.274,member,fixed,stable_near_floor,23,64,2.0732050356657608e-07,3.2218166575058755e-07,9.5367431640625e-07
2864601_0.274,member,fixed,unstable,977,32,2.0764013151795495e-07,2.9555072990813464e-07,2.0265579223632812e-06
2864601_0.274,member,fixed,unstable,977,64,2.0661825045348435e-07,3.028566476716909e-07,2.5033950805664062e-06
2864601_0.240,member,varied,all,1000,32,2.9808282852172854e-07,4.407873299012812e-07,2.86102294921875e-06
2864601_0.240,member,varied,all,1000,64,2.9268860816955566e-07,4.236308664846768e-07,2.384185791015625e-06
2864601_0.240,member,varied,stable_near_floor,240,32,2.409021059672038e-07,3.6030831105157006e-07,1.7285346984863281e-06
2864601_0.240,member,varied,stable_near_floor,240,64,2.2376577059427898e-07,3.3631759060270833e-07,1.1920928955078125e-06
2864601_0.240,member,varied,unstable,760,32,3.1613989880210476e-07,4.6330643951132233e-07,2.86102294921875e-06
2864601_0.240,member,varied,unstable,760,64,3.144537147722746e-07,4.476794345035581e-07,2.384185791015625e-06
2864601_0.240,member,fixed,all,1000,32,2.2999942302703858e-07,3.555496374614147e-07,4.410743713378906e-06
2864601_0.240,member,fixed,all,1000,64,2.271682024002075e-07,3.2473695494170455e-07,2.5033950805664062e-06
2864601_0.240,member,fixed,stable_near_floor,23,32,1.6067339026409647e-07,2.64231994805769e-07,7.152557373046875e-07
2864601_0.240,member,fixed,stable_near_floor,23,64,1.814054406207541e-07,3.43528572990698e-07,1.0728836059570312e-06
2864601_0.240,member,fixed,unstable,977,32,2.3163145859873526e-07,3.5741841066546364e-07,4.410743713378906e-06
2864601_0.240,member,fixed,unstable,977,64,2.2824552432541472e-07,3.2428145377628687e-07,2.5033950805664062e-06
2864601_0.417,member,varied,all,1000,32,1.7310678958892824e-07,2.8573457424452425e-07,1.7881393432617188e-06
2864601_0.417,member,varied,all,1000,64,1.766681671142578e-07,2.955174905250528e-07,2.1457672119140625e-06
2864601_0.417,member,varied,stable_near_floor,240,32,1.0281801223754883e-07,2.06619882974153e-07,1.1920928955078125e-06
2864601_0.417,member,varied,stable_near_floor,240,64,1.1771917343139649e-07,2.494628254342828e-07,1.9073486328125e-06
2864601_0.417,member,varied,unstable,760,32,1.9530324559462698e-07,3.0650453046587063e-07,1.7881393432617188e-06
2864601_0.417,member,varied,unstable,760,64,1.9528363880358243e-07,3.0863660052710976e-07,2.1457672119140625e-06
2864601_0.417,member,fixed,all,1000,32,1.3238191604614258e-07,2.0428399650493939e-07,1.1920928955078125e-06
2864601_0.417,member,fixed,all,1000,64,1.2674927711486817e-07,1.9955765032715363e-07,1.430511474609375e-06
2864601_0.417,member,fixed,stable_near_floor,23,32,1.1920928955078125e-07,1.8766514104585721e-07,4.76837158203125e-07
2864601_0.417,member,fixed,stable_near_floor,23,64,1.0366025178328804e-07,1.5720855555433917e-07,2.384185791015625e-07
2864601_0.417,member,fixed,unstable,977,32,1.3269201881931895e-07,2.0465897067475325e-07,1.1920928955078125e-06
2864601_0.417,member,fixed,unstable,977,64,1.272928263294294e-07,2.0044684375266618e-07,1.430511474609375e-06
2864601_0.494,member,varied,all,1000,32,2.300739288330078e-07,3.78118543492392e-07,3.337860107421875e-06
2864601_0.494,member,varied,all,1000,64,2.135932445526123e-07,3.4541264495779175e-07,2.384185791015625e-06
2864601_0.494,member,varied,stable_near_floor,240,32,2.45248277982076e-07,4.0886878372485306e-07,2.1457672119140625e-06
2864601_0.494,member,varied,stable_near_floor,240,64,2.459933360417684e-07,3.815444190815349e-07,1.9073486328125e-06
2864601_0.494,member,varied,unstable,760,32,2.2528202910172312e-07,3.6787431560051185e-07,3.337860107421875e-06
2864601_0.494,member,varied,unstable,760,64,2.0336163671393143e-07,3.3318957145688593e-07,2.384185791015625e-06
2864601_0.494,member,fixed,all,1000,32,1.3709068298339843e-07,2.1123098989508024e-07,9.5367431640625e-07
2864601_0.494,member,fixed,all,1000,64,1.3832747936248779e-07,2.107052646037478e-07,1.430511474609375e-06
2864601_0.494,member,fixed,stable_near_floor,23,32,1.0366025178328804e-07,2.1091741011843272e-07,7.152557373046875e-07
2864601_0.494,member,fixed,stable_near_floor,23,64,1.3475832731827445e-07,1.792453316583901e-07,2.384185791015625e-07
2864601_0.494,member,fixed,unstable,977,32,1.3787768392260269e-07,2.1123836641047858e-07,9.5367431640625e-07
