function,method,gradient_set,stratifier,stratum_value,sample_count,channel,channel_name,median_signed,median_absolute,sign_agreement
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,1,199,0,bmag,-4.1696930090701957e-07,0.00011384407915883316,0.6833333333333332
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,1,199,1,gbdrift,-3.8905295108942655e-05,0.0016611112374953954,0.7322916666666668
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,1,199,2,cvdrift,1.5902682458169672e-05,0.0008830458576881576,0.6958333333333334
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,1,199,3,gbdrift0_over_shat,9.479371646297768e-05,0.002059087601719349,0.7906249999999999
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,1,199,4,gds2,-0.00012062604440370221,0.00272366917698616,0.6739583333333333
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,1,199,5,gds21_over_shat,-7.503496260434094e-05,0.001478121239480942,0.7239583333333334
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,1,199,6,gds22_over_shat_squared,-3.8052433244430404e-05,0.0007295399058888583,0.7614583333333332
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,2,184,0,bmag,3.413794681563772e-05,0.00027571322782477697,0.7708333333333334
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,2,184,1,gbdrift,-3.945685026250165e-05,0.0021619552068819895,0.78125
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,2,184,2,cvdrift,-1.4868847168643846e-05,0.001140088210229676,0.678125
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,2,184,3,gbdrift0_over_shat,0.00014143394687610137,0.0024869044922115643,0.7687499999999999
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,2,184,4,gds2,0.00013556684281757205,0.0019347259424548546,0.6260416666666667
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,2,184,5,gds21_over_shat,-4.168749071243858e-05,0.001206927358075968,0.71875
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,2,184,6,gds22_over_shat_squared,-2.4484203972391052e-05,0.0006133288757659415,0.7270833333333332
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,3,154,0,bmag,9.087383238820521e-08,4.17574728456144e-05,0.7083333333333334
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,3,154,1,gbdrift,2.170276211998744e-06,0.00012179266597705527,0.7041666666666666
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,3,154,2,cvdrift,4.900163133088823e-07,6.105888381500062e-05,0.7052083333333332
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,3,154,3,gbdrift0_over_shat,3.7006993581141872e-06,0.0005035981268127835,0.9031250000000001
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,3,154,4,gds2,-5.318076090216631e-07,0.0002128041067311213,0.7374999999999999
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,3,154,5,gds21_over_shat,-4.9755316778116995e-06,0.0006660541162289896,0.7749999999999999
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,3,154,6,gds22_over_shat_squared,3.7937473963834884e-06,0.00022439718266548366,0.8354166666666667
